Username,waktu,Komentar,Rating
Bisnis Sembarang12,2022-05-10,untuk permainan cod sudah bagus sih semua dari grafik dan dan performa in permainan sudah saya aku lah tapi ada satu yang sangat bos kan kalau ngelag pada saat lobby bisa login ulangrelog nah itu saja masalahnnya tapi semua sudah bagus siih kasih bintang dulu kalau belum update,3
Richwan Rahmat Saputra,2022-05-10,dapat bug permainan play saya saat main mode mpmultiplayerterkadang suara permainan dengar sama sekali dari suara tembak suara karakter suara ledak dll mohon beri tahu alasan bisa begitusekian terima kasih dan cepat kasih saya jawab,4
Atung Luhat,2022-05-07,developer yang hormat permainan nya bagus sangat tantang tapi sayang ada yang kurang yaitu menu kirim senjata kepada teman untuk kenang ada padahal kalau sosialisasi akan tambah banyak minat permainan ini karena bisa dapat senjata dari teman,5
Zaffa Daniswara,2022-05-06,semakin lama makin malas main cod soal musuh jadi semakin sulit dan tingkat sulit itu lebih kemampuan saya saya saran musuh itu sama dengan rank sesuai mode,2
Arek Mq,2022-05-06,gamenya bagus bangetini permainan favorit saya tidak ada yang lainsumpah bagus buuaanget gamenya tapi ada banyak kurang banyak bug contoh main mode mp tidak ada suara tembak main mp tapi point kill musuh bertambah terus padahal tim yang sering ngekill pakai sniper br tapi tidak sengaja maka nya scoop terus saya habisin nya scoop nya eh semakin hitam semua selalu kasih musuh yang tidak setara saya sudah nya download ulang karena korup file selalu henti internet kamu cok anjing,1
Zaldy,2022-05-05,semakin lama semakin update permainan semakin berat yang dulunya Hanya gb an sekarang jadi gb asa dari awal rilis sampai sekarang grafis sama saja tidak ada beda permainan pasti berat karena banyak skin banyak skin ampas tidak berguna dan tidak milik yang menuhin memori padahal untuk hp low spec skin lawan akan lihat meski sudah download resource mungkin untuk kurang lag jadi tolong untuk developer hilang fitur auto downloadunduh tanpa izin resource untuk kurang ukur permainan yang berat,3
Komang Yudhi artawan,2022-05-05,semakin sini cod semakin berat hp ram gb masih patah apalagi mp rank suka ngelag parah settingan medium masih patah dan ping juga selalu tinggi kisar  wifi atau data sama saja saya player dari season  dulu saya main lancar ram gb sekarang ram semakin patah,2
Andreas Maker,2022-05-05,awal saat waktu pertama kalau rilis sih aman aman saja main tapi semakin lama semakin berat hal manajemen sumber daya bayang saja gamenya kalau didownload semua data sudah capai  mb permainan belah saja meski hampir sama besar dari ukur total data tapi manajemen sumber daya masih golong lebih baik hal batas download otomatis dan bagai harap saya sih depan bisa baik soal untuk grafik sama yang lain oke oke saja sih,3
dena dewan,2022-05-03,saya player codm dari season dengan nik csharkboy sedikit mau curhat codm semakin kesini semakin berat saja iya dulu pakai ram aman aman saja sekarang semakin sini semakin berat sering ngelag habis terus downloadan nya banyak iya mungkin memang perangkat saya kurang dukung tetapi kalau bisa per kecil lagi sering jadi bug musuh tidak lihat kalau jauh tolong baik iya setiap update saya harus download ulang karena mungkin saya terlalu memaksakn perangkat saya yang kurang support,4
Akhiles Salva,2022-05-02,turut saya permainan adalah permainan suka saya belum permainan rilis saya sudah pradaftar belum karena pada dasar saya pernah main permainan cod versi pc belum ketika sudah rilis saya sangat suka gamenya masih enak awalawal season dulu tapi semakin kesini banyak hal yang ubah dari permainan download mapmap yang season belum sudah download kemudian tambah saat main mp ranked dan hadap dengan musuh selalu tiba frame drop mohon baik developer,3
Fitry Tiara01,2022-04-30,sudah banyak keluh dari player lama tentang masalah grafik bug loot dan segala seperti lain tapi permainan semakin semakin jelas dan selalu kecewa setiap update season selalu saja ada hal yang buat para player nyaman apakah keluh semua player masih dengar atau kalian para publisher hanya penting jual karakter dan skin saja tanpa penting keluh para player,2
Muhammad andrean Saputra,2022-04-30,gamenya seru skinnya banyak dan juga bagus cuman banyak yang harus download contoh map mp kalau mau rank harus download semua terus kalau mode br masalah jarak pandang kalau hp dengan grafis rendah musuh enggak lihat parah saya sampai tidak pernah pakai sniper tolong untuk maksimal buat mode br jangan skin selalu capai update nya kalo bisa yang mode mp map nya kalau buat rank batasinkurangin biar enggak download banyak itu saja masalah dari aku semoga baca dan maksimal,2
Hefiz Zaidan,2022-04-30,permainan yang sanggup saing pbg dan fee fr dari segi grafik walaupun dengan grafik yang sangat low tapi asa pakai grafik medium dan gameplay yang tarik serta hadiah hadiah yang sangat ramah akan player yang laku transaksi permainan dan bisa dapat dengan tantang yang tantang namun saran saya agar harus mendownload semua map untuk main mode rank mp karena cukup tambah ukuran permainan dan jadi cukup ramah hadap low end device,4
Muhamad Ardiansyah,2022-04-30,untuk permainan nya sih sudah bagus sangat jarang frame rate permainan play halus tapi banyak bot nya saat main terus ukur file data nya tolong kecilin biar tidak terlalu banyak makan ruang biar semakin banyak yang main sistem nya juga baik biar mudah erti mungkin itu saja ulasan dari saya tolong kembang lebih baik permainan nya terima kasih,5
kevin satria.y,2022-04-27,gamenya sih bagus dan grafik pun bagus tapi tolong baik awal permainan rilis saya sudah main permainan dan ram gb itu masih santai tapi semakin kesini semakin berat map mp semakin banyak dan itu buat semakin berat dan tolong baik apabila pakai grafik rendah saat main br tolong apabila musuh dari jauh itu lihat tapi apabila pakai grafik tinggi musuh dari jarak jauh lihat tolong fix kembali agar kami bagai player nyaman kembali itu saja dan terima kasih,5
jemmy cery,2022-04-26,games nya bagus tapi ada yang kurang ini map nya hanya saja yang pertarungan tolong dong tambah map biar ada sensasi baru main pertarungan tementemen pasti bosan juga kalau map yang ituitu saja pasti ada yang mau map baru pertarungan iya usah banyak yang ada lah buat jelajah medan tempur yang baru jadi jangan Hanya iventnya saja yang baru terus sisa amanaman saja jadi please new map terima kasih,4
Aldy Hidayat,2022-04-25,saya rasa untuk codm semakin berat dan banyak download data map skin senjata dsb nya bisa kembali kembali dulu tidak awal muncul itu lancar jaya,2
Arya Khresna,2022-04-24,gamenya sangat seru namun ada dua kurang di ram gb sekarang sudah ada lag lag yang ganggu itu grafik low dua adalah matchmaking ranked yang adil mana musuh rata rata sudah level lebih dan jago jago sementara saya masih level,3
Sakti Aesar,2022-04-21,gamenya bagus map caracter design skin karakter dll tapi ada satu kurang yang sangat besar yaitu data saat saya main hapus dan mulai dari awal saya sangat kecewa dari dulu main jago tapi reset  jadi kalau main permainan jadi sedikit tidak mood karena inget masa lalu yang masih ada temen tapi ilang dan juga ada bugglitch yang menggangu saat main,3
Shafwan,2022-04-21,main call of duty mobile dengan samsung j pro grafik super low yang saya masalah bukan soal grafik tetapi saat saya main mode pertarungan royal dengan grafik ini musuh jarak tengah dan jauh muncul layar dan hasil ketika saya ketemu player lain mereka bisa lihat saya akan tetapi saya bisa tahu ada player sebut walaupun karakter player akan lihat layar ketika saya mati percuma tolong dong untuk developer saya butuh gamenya lebih fix,2
Bimo Tod,2022-04-20,jujur saja saya player permainan dari awal muncul diplay toko waktu itu masih oke saja main semakin kesini semakin berat saya masih inget sangat dulu saya main pakai ram santai saja walau kalau ketemu musuh squad framedrop sangat tapi sekarang ram berat sangat mana map banyak sangat yang didownload apa map mode mp kalau tidak download map mp tidak bisa main rank mp tolong baik,3
Tegar Maulana Nasution,2022-04-20,dari season awal main saya nikmat fitur dan gameplay nya untuk saat device gb masih layak tapi untuk update cukup buat kesal karena terlalu besar dan overload makan banyak data dan ruang lebih saya puas terimakasih,5
Z Lintang 133,2022-04-19,tahu kenapa tapi call of duty mobile memang semakin update semakin berat meski sudah saya pisah pada download data tetapi auto download tetap jalan walaupun sudah mati padahal saya pakai wifi dan berguna kuota data memang handphone saya bawah rata rata tetapi beberapa bulan yang lalu main codm tetap lancar dan hanya pada akhir akhir saja saya sering dapat lag frame drop dan fps drop tolong beri saya solusi selsaikan frame drop dan fps drop sekian,2
Faldianus Sadang,2022-04-19,gamenya bagus dari segi grafik dan gameplaynya juga dari senjata character map dan lain lain dari seri cod lain tetapi yang kurang adalah masalah bugglicth lawan yang lebih unggul karena pay to win dan yang lebih lebih tahu codm player old dan pertarungan royale alasan juga sama hanya saja pertarungan royale itu sedikit lebih bagus karena keungulan playernya lebih seimbang kecuali speciallist dan abillitynya kurang stabil jadi itu saja semoga developer nya bisa buat update yang lebih bagus,3
Haykal Dhava,2022-04-18,gamenya bagus dari senjata event skin mode tapi yang aku masalah yaitu cari lawan yang seimbang setiap aku main ranked selalu saja ketemu lawan yang susah sama tim yang selalu afk anjing tapi rana aku main veteran jadi aku makluminlan kalau jadi yang seperti begini sering jadi,4
Junaidi Saputra,2022-04-16,untuk update saat milik banyak sekali kurang bugglitch namun yang lebih parah adalah framdrop dan lagging permainan yang sangat ganggu experience saya main permainan ini jadi mohon baik masalah framedrop dan lag nya terimakasih,1
Rafael Gilbert Piorro Manullang,2022-04-16,untuk developer codm permainan kalian sudah sangat bagus dan hampir sempurna tapi saya punya minta yaitu kembang grafik map br isolated soal lihat jelek grafik nya banding map blackout semoga grafik semakin bagus isolated,5
SWAG 4k,2022-04-16,tolong dong kenapa grafik nya yang ada Hanya rendah yang hd tidak ada tolong update dong habis update kenapa semakin banyak bugnya dari rumah tidak ada pintu sma jendela iya tidak ada jalan keluar,5
kth's,2022-04-15,hai permainan sesungguh bagus namun setiap temu musuh selalu ngelag padahal jaringan saya stabil dan saya jadi kalah apalagi mode mp ngelag nya ampun deh untuk yang lain sudah cukup bagus,3
Daniel Conner,2022-04-14,well permainan bagus dan lancarlancar saja baik ranked atau multiplayer bagi yang masalah tidak bisa ranked atau kendala tidak bisa masuk room karena error iya mungkin jaringan yang kurang pada kalau yang pakai wifi pastiin dulu firewall wifi tidak aktif karena firewall biasa pengaruh beberapa permainan jadi tidak bisa buka atau main,5
Cahyo Adi,2022-04-11,kepada developer permainan call of duty mohon sudah upadate halus gamenya sehingga para main bisa nyaman khusus berguna ram gb saya masih banyak kurang yaitu senjata dan peluru bentuk kotak saat baku tembak musuh lihat tiba sudah ada depan saat saya main masih ngelag padahal jaringan data saya stabil kalau ukur permainan  gb itu sudah cakup semua mulai dari peta skin senjata kendara juga karakter jadi perlu download file tambah,1
Ibnu Ahmad,2022-04-11,masih banyak bug yang harus baik event ketika sudah mnylsaikan misi ttapi hsilnya tidak mncul bug pmlihan mode graphic ketika sudah mnysuaikan untuk main namun ketika keluar dari permainan dan main hasil setting graphic tersave prone pun juga masih sedikit bug meski sekrang sudah da prbaikan dari season sblumnya and baik server ketika sedang over high agar segera di minimalisir da ubah signifikan permainan bug baru mncul season lebih buruk,1
Dickie Saputra,2022-04-08,ada apa update sudah tapi selesai dibatalin untuk melajutkan kembali mendownload ulang kenapa semakin aneh bukan sedikit data yang hilang itu pun belum data dalam dari awal rilis main ada masalah sekarang,2
Gita,2022-04-08,jujur codm semakin hari semakin berat sering ngelag sus ketika ngerank mode mp setiap ketemu musuh pasti ngelag padahal jaringan turut saya stabil terkadang juga tiba tiba masuk permainan play yang sudah jalan tengah match tapi kalau main mode match biasa tidak ada kendala mode br juga biasa saja hanya mode rank mp yang ngelag saya semakin hari semakin tidak nyaman terkadang juga dapat musuh yang turut saya level baik musuh mau pun tim tolong jelas,2
Elrick Alexander Rumagit,2022-04-07,ingat waktu saya sering main online ps tahun permainan multiplayer yang sangat saya suka modernwarefare dan saat saya rasa sensasi baru versi android untuk developer saya bisa beri anda star jika ada pilih,5
Blood X,2022-04-06,ada beberapa kurang sudah update iya kalau main mp audio in permainan hilang jadi nya saya tidak bisa denger suara step musuhini benar benar rugi apalagi saat main mode rank main rank dapat musuh yang seimbang dengan tim saat main br yang tadi musuh nya tidak ada tiba tiba sudah depan permainan asa berat saat main mp tiba tiba frame drop server sering down tidak tahu masalah sering jadi akhir akhir saat saya main tiba tiba lag padahal wifi saya lancar,1
Huzaipa,2022-04-04,tolong bug nya baik masak saya masuk rumah saat mau keluar gambar nya dinding semua gua kan bingung jadi terus musuh mudah tembak saya dan saya gagal pertarungan royal jadi bug nya tolong baik iya,4
Arik Perdana,2022-04-04,saya kasih bintang karena akhir akhir sering dapat tim yang seimbang dengan lawa padahal lawa seimbang dengan saya masalah yang sering jadi frame drop padahal ting grafik sudah sesuai dengan device,3
Murcielago Gaming_00,2022-04-04,permainan ini kurang nya sih Hanya belum optimal saja jaringan kalau saat pertarungan royal nya dan untuk lengkap tolong diperbnyak lagi deh biar lengkap tipe senjata saat multiplayer juga coba kasih mode yang lihat karakter jadi tidak Cuma saat pertarungan royal nya saja dan tolong simpan setting kontrol akun agar kami setting ulang pada saat main mode yang beda terimakasih,5
thrue love,2022-04-04,update baru black screen masih jadi dan jaringan server ping server berat dan saya harap mode batle royal lebih bagus dan lebih baik kalau bisa setiap update harus download ulang map skin senjata karakter dan bagai terlalu habis data untuk seluler,3
Rik Rizki,2022-04-03,permainan kurang bagus kalau main pertarungan royal jaringan bagus full jaringan sudah diepan wifi dan pulsa data gb sampai gb tetap error atau lag lag ketika ketemu musuh trus pakai bantu dari selsaikan kalian tembak bagaimana mau menang kalian batu chester lolos lompat kan dan kir sangat jauh main permainan lag lag biar ganti hape mahal tetap sama saja permainan paling error paling error paling kesal saat main dan tidak jelas permainan ini masa ketemu musuh lag lag minta ampu,1
Tama To FF,2022-04-03,bad permainan  koneksi tidak pernah benar dari dulu sering dc akibat ping  padahal permainan belah aman saja ping nya ini saat tengah match ping naik jadi kalah dan poin turun tidak bisa update sudah kalau progres nya stagnan tengah padahal sudah permainan najiz,1
Bang Fin34,2022-04-02,permainan nya seru eventnya banyak tapi cari lawan seimbang masa saya yang masih level rendah sudah hadap dengan level maks tolong timi tencent dan garena seimbang cari lawan dan update kalau setiap vs dengan musuh tiba tiba lag padahal ram sudah kosong jaringansinyal bagus memory masih banyak tolong baik masalah saya main jadi nyaman,2
Muhammad Affandi,2022-04-02,sudah update semakin frame drop terus padahal grafis sudah rata kiri tambah hampir semua mode isi banyak yang bot tolong baik lagi padahal belum update masih fine fine saja tapi sekarang frame drop terus,5
ANANG ISWAN,2022-04-02,hd bagus enak juga sayang nya selalu download otomatis tanpa tanya kepada player dan saya mohon delover nya bisa tangan sebut karena banyak yang ingin main cod tapi ukuran data nya yang selalu resah karena data selalu download otomatis saat awal login download otomatis peta yang banyak itu,5
Marchello Nongka,2022-04-02,saat update permainan nya banyak bug saat face to face tidak ada orang nya sangat resah buat rusher saat mati baru lihat padahal hp saya ram dan satu pada saat saya ingin buka aplikasi terus loading dan ada tulis validasi permainan setting dan saya bisa buka icon repair yang ada belah kanan dan ada bug saat main gun permainan team mode senjata tidak ada dan gyroscope saya tidak fungsi padahal sudah nyala dan sudah saya coba hapus dan install tapi tetap saja tidak bisa,2
_.,2022-04-02,saya uninstall sejak updated tan yang baru selalu buat stagnan login akun padahal sudah pakai wifi dan jaringan seluler sama dan data map senjata karakter dan lain lain selalu hilang saat sudah masuk lobby saat match makin semakin freeze tidak masuk battlenya padahal match sudah ketemumohon responnya dong,1
flower Leaf,2022-04-01,codm sekarang jelek walaupun hp saya kentang dulu msih bisa main walaupun grafik medium dan frame rate high dan main lancar saja walaupun main lama hp panas sekarang main paksa rata kiri semakin banyak bug mode br model senjata tidak nampak skin musuh tidak nampak dan parah nya mobil sama musuh tidak nampak juga kalau jauh mana kalau ketemu player pasti mati karena tidak siapkaget karena musuh tidak render saat jauh,1
HANIF R.A (X-2),2022-04-01,saran optimalisasi ukur permainan dan data masuk data skin map model senjata dan lain lain agar penuh storage hp beberapa orang dan pisah sumber daya skin pubgm dan free fire tolong buat tombol kontrol jadi hd dan buat data khusus kontrol hd sendiri untuk grafis bagi realistis colorfull classic dan lite bisa dikustom,3
I Made Sudarma Yasa,2022-03-31,update season kurang bagus karakter battlepassnya banyak permainan belah kebaya skin tidak jelas dan kurang adaptasi dari cod versi pc nya dan sedikit sedikit pay to win utama karakter battlepass yang baru buff dan karakter battlepass yang lama nerft custom senjata juga masuk akal masang foregrip kenapa semakin ngurangin ads timesenjata yang berguna no stock semakin kurang cepat peluru kan cepat peluru memang bawa dari senjata masing masing,1
Ibnu sopian daryono,2022-03-31,saya masalah ketika ukur permainan ketika update an selalu besar dan harus dowbload maps namun yang saya keluh saat update begitu sudah capai pernah langsung pasang tapi semakin stagnan padahal data dan wifi sangat lancar,2
Tyosan Vaname,2022-03-31,keren sangat grafis dan gameplaynya tapi akun saya masuk berguna facebook dan selalu bisa ganti nama ada masalah apa saya bisa ganti nama selalu saja bilang nama sudah enkripsi mohon rubah agar saya bisa ganti nama,5
YT KennX,2022-03-30,saya cukup puas dengan permainan saya mulai main tahun karena ajak sodara saya dari segi grafik memang puas saya pakai ting high dan main mode ranked tapi kenapa ada bug nya iya waktu saya pasuk atau lihat rumah dari dekat itu masih loading dan terkadang karakter saya ubah jadi masih loading karena lihat jelas pada saat pasuk area tentu minta tolong juga admin buat mode mp saya sering kalau main ketemu musuh master padahal saya masih pro,4
Tsany Garcia,2022-03-30,masalah ping sudah selsai frame drop sudah jarang juga kecuali hp panas Hanya satu saja yang belum  tolong yang adil kasih musuh karena sering kalau ranked mp selalu dapat musuh yang rank nya selsaikan rank saya saya juga kurang puas dengan sistem kita baru masuk namun poin sudah jauh karena match nya sudah mulai duluan,3
Nova Rizal,2022-03-30,saran untuk update lanjut mohon tambah opsi untuk bisa hapus skin camo atau skin senjata dan lain lain yang sudah pakai karena untuk meminimalisir biaya berguna memori internal handphone para main walau mungkin hanya kurang sedikit saja terimakasih,4
Fitrah Aidil,2022-03-30,gila sih grafik tapi sayang setiap update harus download ulang map character dll nya sama saja habisin kuota setiap update bot jadi semakin keras apa karena biar tantang oh  justru banyak orang semakin benci dengan hal sebut matchmaking tidak adil tim musuh hampir jago  sedang tim sendiri buat emosi grafik bagus asli tapi sangat sayang  sensitivitas nya suka ubah setiap update bulan sekali tolong baik hal sebut,1
Avisa Sabela,2022-03-30,cukup uras duit buat beli bundle bpnya tapi wort it harus beli bundle nya iya karena saya suka bonus bre kalau buat mainsekedar luang wktu untuk senang sih ok sangat mantap lah ini permainan terkadang juga buat saya stress kalau losestreakkena kill musuh itu selalu terkadang juga nyenengin kalau winstreak wkwk utk saat tidak ada masalah sih ok ok aj yg mungkin gamenya ada masalah maybe hp kamu habis memory kali gua terkadang juga ada lag lag dikit atau ngeframe iya itu karena memory saya ampir habis jadi iya gt,5
Ryo Desu,2022-03-29,bagaimana sih codm habis update baru ini bukan nya tambah benar semakin tambah tidak beres bnyk sangat bug yang saya alami update kalau ini seperti bug texture rumah bug tidak ada suara saat in game bug teropong putih saat lagi ngescope bug character macet dll tlg segera baik kalo kyk begini terus jadi malas main,2
Vico Adi Tama,2022-03-29,sudah update jadi kurang seru kembali masalah heal lah tidak kalau luar zona kan masih bisa heal lah tidak bisa sekali maraton mokad jalan kan tidak seru mati zona terus update terminal ngapain nunggu kenapa tidak yang seperti versi lama aja map baru harus ada snowboard kalau gal ada salju buat jalan leled map lama kalau bisa suara pesawat sama roket diilangin aja ganggu banget saya tahu buat permainan susah moga kritik dari netijen bisa buat codm semakin jos,4
Za Za (GODmother),2022-03-29,satu sisi hp spek monster ingin semua bagus jadi ukur besar satu sisi hp spek kentang menang dan alami beberapa masalah lama saya main blackshark tidak ada masalah yang masalah player lain dan gachanya juga bagus untuk ping juga bagus stabil an jika berguna provider merah maupun biru dan an jika berguna wifi,5
rhann7,2022-03-28,permainan fps baik sih buat saya grafik bagus sangat gameplay mulus matchmaking ya lumayan lah buat yang mau download siapin memori internal gb an soal full data sudah nyampe gb dan sekarang ada update mungkin bisa jadi gb an buat yang ngeluh koneksi jelek coba ganti kartu kalau kg cari tempat yang lebih bagus sinyal saya pakai tri aman ae mau br mau mp lancar jaya tapi please buat activision please buat matchmaking nya lebih adil jangan kasih tim yang bodoh sedang tim musuh pro smua,5
Mr DJ,2022-03-27,semakin lama semakin buat main jadi sulit dengan update yang tidak manfaat sehingga sebab bengkak pada data permainan bagai main yang sudah gabung sejak awal liris tentu hal akan buat banyak kekuatiran mhn pihak kembang agar lebih jeli dengan ingin main agar tinggal nanti dan pada akhir hilang karena hanya pikir butuh main,1
Ulil Momot,2022-03-27,bagus lebih bagus dari kompetitor lain segi grafik ok sangat sedia juga bagai seperti tipe permainan bisa multiplayer kompetitif bomb mission frontline deathmatch atau event beberapa waktu tentu zombi mode jadi tidak bosen harus pertarungan royal selalu nice terima kasih develop,5
Adrian,2022-03-27,gamenya good tapi ada beberapa kurang yang kurang saya suka kan rank saya master nah itu mencari musuh susah sangat iya biasa tapi musuh ranked match itu kuat sangat jadi kalah selalu dan musuh kuat pasti kalah donk iya rank turun nya banyak sangat coba rangin harga skin dan lain lain nya itu saja sih iya sudah lah,5
Gigih Aryo PB,2022-03-27,kepada garena mohon maaf ini kenapa call of duty mobile semakin tinggi update nya kenapa semakin berat iya dari segi kualitas grafik  lalu saat tembak perang itu gambar selalu sendatsendat alias legleg begitu serta hp semakin panas meski ram gb tetap semakin panas lanjut mohon timbang untuk lanjut supaya cinta permainan codm semakin naik ranting buat kalah permainan ff dan lain terima kasih,1
rania aysya,2022-03-26,gamenya cukup baik dan grafik bagus sensitivitas nya juga bisa maksimal untuk rotasi dan fire rate nya cara manual hanya saja terkadang jika sinyal internet turun sedikit bisa bug,4
Christian Daffa,2022-03-26,permainan nya sangat bagus dan perang dunia nyata dan dari segi gameplay grafik engine dan lain lain sangat bagus hanya tinggal masalah koneksivitas mungkin bagi yang lain dari saya koneksivitas pernah ganggu saya lama main codm ini semua baik hanya saat main dan tekan itu sedikit delay dan saya akan tunggu update baru nya dan codm warzone mobile yang akan hadir terimakasih developer,5
Romero Aristo david,2022-03-26,oke untuk sekarang permainan cara overall sudah mantap kalau hanya yang perlu update tinggal frame rate soal hanya beberapa yang hp yang frame ratenya support sampai ultra begitu sedang hp yang aku pakai seperti oppo type cph hanya bisa sampai high saja yang mana kalau musuh atau tim misal rank banyak sering spam hp saya jadi suka freeze begitu terkadang jadi tidak adil begitu masa hp saya frame rate high musuh bisa sampai ultra very high dsb kan tidak adil itu saja sih,5
Annanda Lucky,2022-03-25,terima kasih codmobile sudah jawab dengan cepat namun kemarin sudah nya coba dan stagnan dengan jaringan wifi akhir putus untuk install ulang dan semua data yang simpan aman masuk sensitivitas yang lain terima kasih,5
Dimas Fajar,2022-03-25,tolong untuk permainan cod waktu update selalu stagnan dan selalu gagal coba beberapa nya masih saja itu dan waktu permainan play mulai selalu ada frame drop padahal saya main permainan berat lainnya lancar saja tolong baik sytem nya untuk nyaman para main terimakasih,1
Felix Antonio Lincoln,2022-03-25,gamenya seru dan mudah main gamenya juga pay to win saran buat main permainan tapi level lawan tidak balance saya dulu saat level an selalu beri lawan sama level tapi sekarang saya yang bully level lemah canda,5
Rizal fahrezi,2022-03-24,permainan nya sudah bagus tapi ada sedikit kendala season mana waktu selesai update dan main nya suara tembak dan jejak musuh hilang tapi musik masih dengar jadi bukan dari speaker atau headset saya tapi dari permainan nya mengapa iya maaf sedikit belit belit mohon saran nya trimakasih,4
Ari _,2022-03-24,overall gamenya bagus grafik realistis sangat banyak event tarik Hanya sayang untuk servernya terkadang suka ngelagtiba logout kemudian login begitu terus kendala kecewa sih at least tolong baik depan pihak garena terima kasih,5
navid ahyan,2022-03-24,plus grafik bagus  walaupun saya berguna grafik paling rendah untuk performa lebih tinggi permainan mechanics bagus beri alam yang baik untuk main gratisfp minus mode br terkadang adil hanya tiga orang yang harus empat orang bahkan hanya sendiri mode squad mode br slowpaced senjata variasi namun semua bisa dominasi senjata metaunbalanced meta spam alat lethal dan scorestreak yang buat device lag cenderung pwpay to win,5
Muhamad Zainudin,2022-03-24,sekarang Hanya bisa main mode mp saja untuk pertarungan royal hp saya sudah tidak kuat setiap update semakin besar saja mode zombie nya juga buat tambah berat lebih asyik zombie mode old map kecil tapi nikmat tidak bosan baik iya buat gemar codm lebih ramai,5
Ririn AliKhan,2022-03-22,saat main mode yang lain semua lancar ping hijau akses sosmed lain biasa saja tdk ada yang lama tapi saat masuk mode ranked dan sudah dapat tim knpa bisa lanjut main selalu ada tulis muat koneksi sambung ulang permainan sudah hampir bulan saya pikir mungkin belum download file rank nya atau map nya nyata tidak semua sudh download full tolong,1
Luki Uki,2022-03-22,sudah tiga kalau saya edit ulasan ada ubah sedikit codm yaitu kurang framemeskipun masih frame drop tapi bagi saya tidak masalah tapi ada satu kritik yang buat saya kecewa server codm indonesia hancur beranta ngelag setiap main koneksi drop mohon baik,2
Anime Suki,2022-03-17,jujur gamenya bagus sangat seru bagi saya saya main awal biasa tidak lag tapi saat mp saya rank pro tanding pertama dua tidak lag tanding mulai lag lama jadi lag sangat nge frame terus sampai tidak bisa gerak,4
Wahyu Hardiansyah,2022-03-16,tolong untuk developer masalah matchmaking itu adil saya yang level semakin ketemu musuh yang sudah level lebih tinggi dari saya apalagi yang sudah level maks saya jadi semakin sering kalah karena matchmaking yang adil dan juga masalah bug yang selalu saya temu adalah bug minimap mana selalu muncul warna merah sekitar minimap atau terkadang saat berguna scorestreak selalu muncul suat yang halang minimap,5
Setiyo Mukti,2022-03-15,dear untuk kembang untuk masalah jaringan baik  sering sendat waktu main jadi buat sangat nyaman untuk grafis sudah oke tapi itu kendala bug jaringan semoga development nya baca ulasan saya sekian terima kasih,3
Muhammad Rizki F,2022-03-13,rangin data gamenya meski hanya mendownload data item milik sendiri dan map rank total punya saja sudah jadi  gb untuk hp kentang saya cukup sulit karena bisa saja data codm jadi gb sedang kapasitas hp saya adalah gb dengan ram dan hanya mampu main mp paling lama banyak kalau saja lalu freeze dan hp sudah panas mohon ringan kembali,4
Ibran Ghibran,2022-03-13,permainan nya bagus saya suka dari grafik nya saya suka sangat buat yang bilang kalau saat masuk lama itu kalian harus sabar itu kalian harus download data dan buat yang minta biar tidak berat kalian pilih yang smooth saja jangan iya hd terus saat kalian masuk terus kalian tanda panah bawah seperti logo unduh terus kalian tekan yang unduh gt jadi sekian terima kasih sekali terima kasih buat developer nya permainan bagus sangat saya suka,5
Igede yuda Arisaputra,2022-03-13,selalu lambat pasuk match dan saat saya bisa in permainan masalah dengan sinyal tapi sinyal baik saja lag sama sekali selagi bug masih ada codm akan sepi aku yakin sia saya dukung codm dari awal rilis dan sekarang sudah bosan akibat bug kecewa saya,1
Firman Dwiagustian Iskandar,2022-03-12,untuk masalah jaringan wifi bisa sih akalin sendiri pakai vpn jadi saya kalau binta karena saya puas dengan permainan walaupun sedikit nge lag hehe saran saja adain fitur custom grafik sendiri biar para player temu settingan grafik yang suka,5
yabes tanaka,2022-03-11,tolong baik bagi br saat berguna kendara saat tim yang setir suka patah patah saat jalan jadi tolong iya supaya bisa sesungguh dan kalau bisa dari senjata skin senjata karakter dan map jangan download ulang dan juga untuk ukur downloadnya rangin kasihan sama hp yang ram kecil aku akan tunggu terus kalau masih tetap saya tidak bakal download,3
Michael Marchellokaunang,2022-03-11,bintang dulu masih kzl sama simpan nya saya sudah download map nya sampai full tapi saat saya keluar dari permainan nanti suruh download map lagi habis kuota saya tapi untuk permainan bagus sudah lumayan keren sih tidak ada bug tidak ada lag main nya juga tidak susah susah sangat tidak ada cheter,4
SeaGate Vake'S,2022-03-10,kill saya paling banyak paling dominasi permainan lah yang mvp semakin yang banyak nyampah bahkan kill saya sama temen beda jauh cara nilai bagaimana sih terus kalau mau masuk pakai wifi tidak mau sama sekali harus pakai kuota data ampun saya sama sistem,1
N1021,2022-03-09,gamenya puas gamenya sudah maksimal grafik tapi terlalu tinggi karena masih permainan mobile mekanika gamenya juga bagus setiap senjata dan operator kemampuan punya unggul masing dan selalu jadi tentu menang event nya juga seru tapi kendala yang saya alami adalah saat saya berguna akun facebook saya untuk main selalu saja pernah muncul event draw skin dan shop juga hanya ada credit shop dan cod point shop semoga cepat baik,5
Seputar Gaming,2022-03-06,lama saya main permainan ini dari pertama rilis sampai saya pensiun permainan kurang Hanya ada pertama gamenya golong berat buat hp tengah bawah dua gameplay yang seimbang antara player yang pakai shootgun dengan player yang berguna senjata lain andai kurang itu bisa baik mungkin bakal banyak player yang mau coba permainan,1
